id,question,answer
10,MAC address ของ ONU/Modem/Router ซ้ำหรือเหมือนกันทำให้ใช้งานได้ทันทีทั้งๆที่ยังไม่ได้ลงทะเบียน โดยได้ package เดียวกับลูกค้าที่ใช้ MAC ซ้ำกันที่ได้ลงทะเบียนใช้งานไปก่อนหน้านี้ ซึ่งณ.เวลาเดียวกันจะมีลูกค้าเพียงหนึ่งรายเท่านั้นที่ใช้งานได้แล้วจะหลุดเมื่อลูกค้าอีกรายหนึ่งเข้ามาใช้งาน เพราะเมื่อ MAC ซ้ำ IP address  ก็จะซ้ำกันด้วยทำให้เกิดเหตุการณ์ IP ชนกัน,เหตุการณ์นี้มาจากผู้ขายอุปกรณ์เข้าไปเปลี่ยนค่า MAC address ของอุปกรณ์ทึ่ส่งมอบให้ CAT ให้มีค่าเดียวกันเพื่อสะดวกในการตรวจรับ ดังนั้นแนะนำก่อนนำอุปกรณ์ใดๆไปติดตั้งให้ลูกค้าควรทำการ Factory reset ให้อุปกรณ์นั้นๆกลับไปเป็นค่าที่ตั้งมาจากโรงงานก่อนเสมอ
11,เครื่องมือและวิธีการปลอม MAC address บนคอมพิวเตอร์,"1.ลงโปรแกรมปลอม MAC Address เช่น Technitium MAC Address Changer บนคอมพิวเตอร์ โดย download และศึกษาวิธีการใช้งานจาก URL : https://technitium.com/tmac/

ข้อต้องระวัง : ต้องระวังไม่ปลอม MAC ซ้ำกับอุปกรณ์ที่มีใช้งานอยู่ในระบบ เพราะจะทำให้กระทบการใช้งานของลูกค้าเดิมได้ และหลังการปลอมจะต้อง Reset ค่า MAC กลับคืนให้กับคอมพิวเตอร์ตัวนั้นด้วยทุกครั้ง"
12,เครื่องมือและวิธีการ Clear MAC Address,"1.ต่อเข้า CAT VPN
2.Browse เข้า URL: http://clearmac.aaa.catbb.net/
2.1Login เข้าใช้งานด้วย TACCAC user&password
2.2ใส่ค่า Subscriber ID หรือ MAC address ที่ต้องการ clear
3.เมื่อ clear MAC address สำเร็จระบบจะเก็บประวัติการเข้าใช้งานไว้"
13,เครื่องมือในการตรวจสอบสถานะการใช้งาน (Tshoot),"1.ต่อเข้า CAT VPN
2.Browse เข้า URL: http://tshoot.aaa.catbb.net/
2.1ใส่ค่า Subscriber ID หรือ MAC address ที่ต้องการตรวจสอบสถานะการใช้"
14,เครื่องมือหรือรายงานบน AAA มีอะไรบ้างและเข้าไปดูได้อย่างไร,"1.ต่อเข้า CAT VPN
2.Browse เข้า URL : http://report.aaa.catbb.net/
2.1เลือกรายงานที่ต้องการจะดู
2.2สามารถ copy ข้อมูลที่สนใจมา paste บน Excel ได้"
15,Test speed ได้ไม่เต็ม BW ของ Package ที่ใช้,"1.ตรวจสอบว่าเป็นการทดสอบผ่าน Ethernet Port ไม่ใช่ WiFi
2.ตรวจสอบว่ามี Network Congestion หรือไม่
3.มีการตั้งค่าจำกัดความเร็วบน OLT/ONU (Bandwidth profile)หรือไม่
4.ถ้าเป็นการ Test Speed >= 100Mbps คอมพิวเตอร์จะต้องเป็น port Gigabit"
16,เข้าใช้งานบางเว็ปไม่ได้,"1.ให้เปิด Ticket แจ้งส่วนกลางเพื่อแก้ไข
(สาเหตุเกิดจาก IP address ของ AAA เป็นชุด IP address ที่ CAT ซื้อต่อจากผู้ใช้เดิมที่เคยลงทะเบียนไว้ที่อเมริกา ทำให้เกิดปัญหากับบางเว็ปที่มีการเช็คประเทศของ IP ว่าหากไม่ใช่ IP address ที่เป็นของไทยจะไม่อนุญาตให้ใช้งานเว๊ปนั้นได้)"
17,เล่นเกมแล้วช้าหรือสดุดเมื่อเทียบกับ PPPoE หรือผู้ให้บริการ Boardband รายอื่น,"1.ตรวจสอบว่ามี Network Congestion หรือไม่
2.ตรวจสอบว่าลูกค้าได้เข้าไปเล่นเกมผ่าน Game Server ของประเทศอะไร ใช่ประเทศไทยหรือไม่ หรือใช่ประเทศเดียวกันกับที่เล่นผ่าน PPPoE/ผู้ให้บริการรายอื่น หรือไม่ เพราะถ้า Web Game เข้าใจว่า IP address ที่ลูกค้าใช้งานเป็น IP address ที่มาจากประเทศอเมริกา (เกิดขึ้นเนื่องจาก IP address ของ AAA เป็นชุด IP address ที่เคยลงทะเบียนว่าเป็นของประเทศอเมริกา) อาจจะทำให้ลูกค้าถูกโยกให้ไปใช้ Server ที่ไกลจากประเทศไทยทำให้มี delay ที่มากกว่าจึงทำให้ช้าหรือสดุดได้ หากเป็นกรณีนี้ให้เปิด Ticket แจ้งส่วนกลางเพื่อแก้ไขต่อไป"
18,ทำไมถึงใช้ Load Balancer บน AAA ภายใต้ Package เดียวกันไม่ได้ เช่นจะใช้ Load Balancer บน Package Private หรือ Public อย่างใดอย่างหนึ่ง,สาเหตุเนื่องจาก AAA ใช้เทคโนโลยี IPoE ซึ่งทำงานอยู่บน L3 โดยมี DHCP Server จะทำหน้าที่จ่าย IP address ให้กับ Modem/Router ที่ร้องขอเข้ามาเพื่อจะได้ใช้งานออกอินเตอร์เน็ตได้ โดยวิธีการจ่าย IP Address ของ DHCP Server จะจ่ายเป็น Subnet /24 ซึ่งทำให้ถ้าได้ IP Address ที่ตกอยู่ใน Subnet เดียวกัน (Network เดียวกัน) ของทั้ง 2 Links จะทำให้ Load Balancer ทำงานไม่ได้เพราะทางเทคนิคอุปกรณ์ต่างๆไม่สามารถถูกเซ็ตค่า IP Address ที่ Subnet เดียวกันได้บน 2 Interfaces (Ports) ต่างจาก BRAS ที่ใช้เทคโนโลยี PPPoE ซึ่งทำงานบน L2 และใช้ IP Address Subnet /30 จึงทำให้แต่ละ IP ที่ได้จากแต่ละ Sub ID อยู่คนละ Network
19,การเซ็คค่า Option82 บน OLT,ให้ติดต่อ RNOC แต่ละเขตเพื่อขอข้อมูลวิธีการเซ็คค่าให้ OLT ทำงานได้
20,"การเซ็คค่า L2 Security บน OLT เช่นเรื่อง IP Snooping, IP Source Guard",ให้ติดต่อ RNOC แต่ละเขตเพื่อขอข้อมูลวิธีการเซ็คค่าให้ OLT ทำงานได้
21,Leased Time ของระบบ AAA มีการ set ค่าไว้อย่างไร,"Leased time ของ AAA จะมี 2 ช่วงคือ
1.ช่วง Wall Garden อุปกรณ์ DHCP Server จะถูกตั้งค่า Leased Time ที่ 2 นาที
2.ช่วง Open Garden อุปกรณ์ DHCP Server จะมี Leased Time อยู่ 2 ช่วงย่อยคือ
2.1ช่วงย่อยแรกจะมีค่า Leased Time ที่ 1 ชั่วโมง
2.2ช่วงย่อยหลังจะมีค่า Leased Time ที่ 47 ชั่วโมง
โดยหลักการทำงานของ Leased Time หลังจากอุปกรณ์ Client ได้รับ Leased Time แล้วเมื่อใช้งานไปครึ่งเวลาของ Leased Time อุปกรณ์ Client ขอ renew IP Address ไปยัง DHCP Server ถ้าได้ IP Address ใหม่พร้อม Leased Time ใหม่ก็จะมีสิทธิ์ใช้งานต่อไปอีก แต่ถ้าไม่ได้จะมีสิทธิ์ใช้ได้อีกเพียงครึ่งเวลาที่เหลืออยู่"
